Bioguide_ID,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,Topic30,Topic31,Topic32,Topic33,Topic34,Topic35,Topic36,Topic37,Topic38,Topic39,Topic40,Topic41,Topic42,Topic43,Topic44,Topic45,Topic46,Topic47,Topic48,Topic49
A000148,0.0035501462407410145,0.038236428052186966,0.006178803741931915,0.003833180293440819,0.03863805904984474,0.007764937821775675,0.004065055400133133,0.002844998612999916,0.0031686038710176945,0.0037471018731594086,0.006761766970157623,0.0036079082638025284,0.0026331120170652866,0.03731444105505943,0.04095606133341789,0.039246492087841034,0.036477264016866684,0.0037629329599440098,0.023653654381632805,0.011025108397006989,0.013579539023339748,0.0048837363719940186,0.07350411266088486,0.002770303515717387,0.07463159412145615,0.03760868310928345,0.0028598946519196033,0.010093508288264275,0.002966981614008546,0.07944329082965851,0.0365513451397419,0.003437455277889967,0.07020802795886993,0.003046056954190135,0.008962803520262241,0.002097455319017172,0.0036542355082929134,0.07204693555831909,0.0030535333789885044,0.0026239531580358744,0.0033984468318521976,0.0027424392756074667,0.038811590522527695,0.0028248659800738096,0.0030535240657627583,0.004336892627179623,0.002543581649661064,0.003564627142623067,0.038253169506788254,0.07498135417699814
A000372,0.0015034886309877038,0.0015847493195906281,0.0206427201628685,0.0029023559764027596,0.002139868913218379,0.020223280414938927,0.06514795124530792,0.0016980856889858842,0.0038899872452020645,0.0018208225956186652,0.01544606126844883,0.0014560590498149395,0.017331862822175026,0.049302421510219574,0.07865068316459656,0.04879903048276901,0.03237467259168625,0.0019434042042121291,0.001531164045445621,0.0019080407219007611,0.00652617122977972,0.0020422323141247034,0.0014332664432004094,0.00428500073030591,0.001792410621419549,0.14114966988563538,0.04302496463060379,0.018084919080138206,0.01865261420607567,0.049468882381916046,0.0014887013239786029,0.0018423808505758643,0.03770849481225014,0.07939653098583221,0.00225717481225729,0.0013292233925312757,0.002400854602456093,0.03562842682003975,0.0014598004054278135,0.0069184317253530025,0.017813589423894882,0.0017074702773243189,0.0014296352164819837,0.033242564648389816,0.00890538189560175,0.002133950823917985,0.0467495433986187,0.0026523550041019917,0.022588858380913734,0.035589754581451416
A000375,0.004621593747287989,0.0038096937350928783,0.020337523892521858,0.00538926525041461,0.005004306323826313,0.190731018781662,0.00409734109416604,0.005119799170643091,0.07238640636205673,0.024717945605516434,0.005941387731581926,0.012583105824887753,0.035723499953746796,0.00417723972350359,0.0042359414510428905,0.0709250196814537,0.009337544441223145,0.004639728926122189,0.0027740895748138428,0.005154856014996767,0.0039804792031645775,0.004114730749279261,0.0033304563257843256,0.020907830446958542,0.004371489863842726,0.03870164975523949,0.003957539796829224,0.008473493158817291,0.003582106903195381,0.012685366906225681,0.011005392298102379,0.004203121643513441,0.0034483671188354492,0.05091409012675285,0.0039663780480623245,0.005787875968962908,0.07806103676557541,0.04372550919651985,0.003320470219478011,0.057753682136535645,0.004231371451169252,0.003837304888293147,0.0030795044731348753,0.01508692093193531,0.09378490597009659,0.006156385876238346,0.0038983584381639957,0.0035020862706005573,0.004498254042118788,0.003926536533981562
A000377,0.0016414475394412875,0.002761121606454253,0.0015054431278258562,0.0022834637202322483,0.0015427666949108243,0.001708048046566546,0.055153537541627884,0.002040955936536193,0.0022714457008987665,0.0028008108492940664,0.0014180729631334543,0.031702373176813126,0.031563159078359604,0.0015966685023158789,0.02343890629708767,0.03150089830160141,0.0011152105871587992,0.0016764119500294328,0.03964563086628914,0.001688083284534514,0.001543869380839169,0.001507012639194727,0.0016990998992696404,0.003111568046733737,0.0017507747979834676,0.5738040804862976,0.0077261971309781075,0.0017821526853367686,0.031730424612760544,0.0015881932340562344,0.031506456434726715,0.0020077473018318415,0.01571052335202694,0.001555516035296023,0.0027994466945528984,0.03132813423871994,0.0018906127661466599,0.0022755470126867294,0.001256222021766007,0.02865227311849594,0.001610498409718275,0.0013807163340970874,0.0011661603348329663,0.0013567534042522311,0.0012394011719152331,0.002605258021503687,0.001390809309668839,0.0014814744936302304,0.0015957156429067254,0.00189285259693861
A000379,0.02413049340248108,0.004870418459177017,0.05394017696380615,0.0017473511397838593,0.0014362788060680032,0.0018621583003550768,0.008867981843650341,0.0016002673655748367,0.003553438698872924,0.001219473429955542,0.01260528527200222,0.026676783338189125,0.1024547666311264,0.012353110127151012,0.0016017252346500754,0.023663772270083427,0.09442206472158432,0.0016195703065022826,0.018155856058001518,0.001374261686578393,0.0011109159095212817,0.011534265242516994,0.04152258485555649,0.001166952308267355,0.011784938164055347,0.02985592558979988,0.0012931241653859615,0.0012013757368549705,0.042363427579402924,0.013139208778738976,0.0249272882938385,0.012054321356117725,0.002014275174587965,0.12269672006368637,0.006390140857547522,0.008012479171156883,0.0018966352799907327,0.00150976306758821,0.012016985565423965,0.016658298671245575,0.0016091495053842664,0.002455487148836255,0.032455768436193466,0.032032258808612823,0.048611119389534,0.0016704965382814407,0.023836273699998856,0.07748245447874069,0.011626671068370342,0.006915490608662367
B000490,0.008085698820650578,0.0038699901197105646,0.09144271165132523,0.004440711345523596,0.004147247411310673,0.02580241672694683,0.021002518013119698,0.00443497858941555,0.03000742942094803,0.005186971742659807,0.006629456300288439,0.004650706425309181,0.0035897567868232727,0.00979585200548172,0.004276480060070753,0.0034200306981801987,0.053003035485744476,0.005506305024027824,0.03588089346885681,0.021863706409931183,0.014218071475625038,0.008882544003427029,0.0040041725151240826,0.0037978633772581816,0.004171203356236219,0.00556714553385973,0.007346704602241516,0.1773456186056137,0.004500859882682562,0.010714582167565823,0.006655501201748848,0.0253828726708889,0.005375581793487072,0.015598302707076073,0.005300301127135754,0.004627971909940243,0.004279159940779209,0.008550702594220638,0.004649875685572624,0.09767141193151474,0.006149235647171736,0.09048695862293243,0.003292808076366782,0.0038643372245132923,0.050602834671735764,0.005473766475915909,0.006057041697204113,0.04982383921742439,0.004165101330727339,0.014406709000468254
B000574,0.002927999012172222,0.0027882650028914213,0.011743258684873581,0.0036075119860470295,0.0032029494177550077,0.030293665826320648,0.09787191450595856,0.003307506674900651,0.035573821514844894,0.027795158326625824,0.02406960166990757,0.0028734812512993813,0.0025469516403973103,0.008748417720198631,0.0492369681596756,0.0045241303741931915,0.004547866992652416,0.003946828190237284,0.009895293042063713,0.02476394549012184,0.005197923164814711,0.02513466589152813,0.036550648510456085,0.014586240984499454,0.04987721890211105,0.16393204033374786,0.006802888587117195,0.003741190070286393,0.0025996884796768427,0.02112557366490364,0.019555773586034775,0.003491454292088747,0.02343781292438507,0.003682773793116212,0.0045388066209852695,0.006771847140043974,0.0031088797841221094,0.051421843469142914,0.02576255053281784,0.003988698590546846,0.019140172749757767,0.029005730524659157,0.01844966784119606,0.0026653369423002005,0.037813540548086166,0.004505756311118603,0.002815540647134185,0.035163186490535736,0.00327659142203629,0.017590370029211044
B000668,0.009313744492828846,0.005225903820246458,0.006246995646506548,0.007144525647163391,0.0071789235807955265,0.0048032789491117,0.005943087860941887,0.006980708800256252,0.00635787146165967,0.08792085945606232,0.006966381333768368,0.07425606995820999,0.005172050558030605,0.00625471118837595,0.0239716749638319,0.1626923531293869,0.00497796107083559,0.007520717103034258,0.05300039052963257,0.006232403684407473,0.00620949687436223,0.00613699946552515,0.004989623092114925,0.19134528934955597,0.005648741964250803,0.004933618474751711,0.0057502007111907005,0.006142401602119207,0.004780178423970938,0.005759998224675655,0.014938314445316792,0.006945216096937656,0.005311919841915369,0.004953733179718256,0.01466261874884367,0.020610181614756584,0.0213591568171978,0.013118310831487179,0.04012309014797211,0.021536175161600113,0.007055757101625204,0.03879046440124512,0.008677823469042778,0.005094360094517469,0.005124487914144993,0.008754238486289978,0.005464178044348955,0.005224050022661686,0.0065629975870251656,0.005835778545588255
B000740,0.03736463934183121,0.0033326400443911552,0.0014617437263950706,0.0026340584736317396,0.002244675764814019,0.08435140550136566,0.028882212936878204,0.0018733474425971508,0.003661719150841236,0.0016777915880084038,0.059261225163936615,0.00366206094622612,0.05018692463636398,0.001806583721190691,0.0020648338831961155,0.028310434892773628,0.06191627308726311,0.0028853833209723234,0.07241574674844742,0.028855452314019203,0.0021598399616777897,0.0326836034655571,0.02857832983136177,0.001863601035438478,0.001924344222061336,0.08522123098373413,0.003835233859717846,0.007448120042681694,0.009310463443398476,0.0015443138545379043,0.022987667471170425,0.0019851585384458303,0.024963658303022385,0.0318683497607708,0.001523359795100987,0.044889844954013824,0.002004794077947736,0.0020656909327954054,0.001891627092845738,0.02631617896258831,0.0019235751824453473,0.05593609809875488,0.00186036410741508,0.02849908545613289,0.0615227036178112,0.0022986684925854206,0.0015434412052854896,0.02877875044941902,0.0017429896397516131,0.001979745225980878
B000825,0.026288647204637527,0.0030268735717982054,0.045019153505563736,0.007674667984247208,0.009821608662605286,0.050775595009326935,0.00304984743706882,0.003639764850959182,0.004380982369184494,0.008315324783325195,0.04512333869934082,0.05936797708272934,0.0029792331624776125,0.004009526688605547,0.00959489494562149,0.08362002670764923,0.002631461014971137,0.003584636840969324,0.006982935126870871,0.022335078567266464,0.008073151111602783,0.015524822287261486,0.004763578064739704,0.09440886974334717,0.010329579003155231,0.06783591210842133,0.036940284073352814,0.013596962206065655,0.0029438124038279057,0.03014548309147358,0.03230620175600052,0.03212933987379074,0.0026625522878021,0.003740455023944378,0.006469410844147205,0.004176717717200518,0.00405222037807107,0.0340915247797966,0.002918034326285124,0.015133160166442394,0.006554671097546816,0.04665389657020569,0.009866032749414444,0.009919283911585808,0.008571731857955456,0.00455093290656805,0.021473251283168793,0.052026767283678055,0.013058295473456383,0.0028614457696676254
B001223,0.0673733577132225,0.003046624595299363,0.045621342957019806,0.00431091757491231,0.061270542442798615,0.0059925890527665615,0.0042562223970890045,0.003576588351279497,0.0033875848166644573,0.00563006941229105,0.043684106320142746,0.002867124043405056,0.03522055596113205,0.0035054131876677275,0.004453768953680992,0.002777685411274433,0.032384127378463745,0.003962314687669277,0.0026579133700579405,0.016358133405447006,0.0034054245334118605,0.0030226095113903284,0.0027241588104516268,0.0029687792994081974,0.0031393032986670732,0.038047291338443756,0.00365114095620811,0.003298229305073619,0.003591988468542695,0.0031808034982532263,0.03543386235833168,0.003637842368334532,0.002982399193570018,0.030748706310987473,0.003210522001609206,0.003491864074021578,0.03545364737510681,0.05361570790410042,0.04818211868405342,0.003305475227534771,0.004312798380851746,0.011255282908678055,0.055711179971694946,0.04114994779229164,0.017352167516946793,0.004414367955178022,0.15161879360675812,0.0034028436057269573,0.0681895986199379,0.003164177993312478
