Bioguide_ID,Name,Gender,Party,Born,Number_of_House_Terms,District,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
J000288,"Henry C. Johnson, Jr.",M,Democrat,1954,9,GA-04,-0.2068435698747635,-0.6932794498415882
J000289,Jim Jordan,M,Republican,1964,9,OH-04,0.20124021172523499,0.7342234354247617
J000292,Bill Johnson (Ohio),M,Republican,1954,7,OH-06,0.2736201584339142,0.9874130680951931
J000294,Hakeem Jeffries,M,Democrat,1970,6,NY-08,-0.4783947467803955,-1.6431826462156736
J000295,David Joyce,M,Republican,1957,6,OH-14,0.06318555772304535,0.2512995217619941
J000298,Pramila Jayapal,F,Democrat,1965,4,WA-07,-0.4818534851074219,-1.655281531699074
J000299,Mike Johnson (Louisiana),M,Republican,1972,4,LA-04,0.19878029823303223,0.7256185024037599
J000302,John Joyce (Pennsylvania),M,Republican,1957,3,PA-13,0.43476852774620056,1.5511202589257755
J000304,Ronny Jackson,M,Republican,1967,2,TX-13,0.34308165311813354,1.2303937709495618
J000305,Sara Jacobs,F,Democrat,1989,2,CA-51,-0.44321203231811523,-1.520111285208644
J000307,John James (Michigan),M,Republican,1981,1,MI-10,0.09808563441038132,0.3733821979513219
J000309,Jonathan Jackson (Illinois),M,Democrat,1966,1,IL-01,-0.3640078902244568,-1.2430501853520262
K000009,Marcy Kaptur,F,Democrat,1946,21,OH-09,-0.11016137152910233,-0.3550790034744118
K000376,Mike Kelly,M,Republican,1948,7,PA-16,0.15641255676746368,0.5774134623818555
K000380,Dan Kildee,M,Democrat,1958,6,MI-08,-0.35197925567626953,-1.200973260716529
K000389,Ro Khanna,M,Democrat,1976,4,CA-17,-0.22936777770519257,-0.7720705538159015
K000391,Raja Krishnamoorthi,M,Democrat,1973,4,IL-08,0.1594138890504837,0.5879123125857425
K000397,Young Kim (California),F,Republican,1962,2,CA-40,0.19811727106571198,0.7232991914263701
K000398,Thomas Kean Jr.,M,Republican,1968,1,NJ-07,0.15765918791294098,0.5817742569962714
K000399,Jen Kiggans,F,Republican,1971,1,VA-02,0.09452886879444122,0.36094040680965045
K000400,Sydney Kamlager-Dove,F,Democrat,1972,1,CA-37,-0.37738236784935,-1.2898349542139733
K000401,Kevin Kiley,M,Republican,1985,1,CA-03,0.13226604461669922,0.4929474352606852
K000402,Timothy M. Kennedy,M,Democrat,1976,1,NY-26,-0.19938941299915314,-0.6672043375069553
L000266,Jacob LaTurner,M,Republican,1988,2,KS-02,0.5504835844039917,1.9558988477736607
L000273,Teresa Leger Fernandez,F,Democrat,1959,2,NM-03,-0.3997114300727844,-1.3679434265092238
L000397,Zoe Lofgren,F,Democrat,1947,15,CA-18,-0.15207849442958832,-0.5017077512474847
L000491,Frank D. Lucas,M,Republican,1960,16,OK-03,0.353639155626297,1.2673245826385753
L000551,Barbara Lee (California),F,Democrat,1946,14,CA-12,-0.46114039421081543,-1.582825829338738
L000557,John B. Larson,M,Democrat,1948,13,CT-01,-0.5620711445808411,-1.935887979469798
L000560,Rick Larsen,M,Democrat,1965,12,WA-02,-0.17120590806007385,-0.5686166542137993
L000564,Doug Lamborn,M,Republican,1954,9,CO-05,0.2214973270893097,0.8050841065252229
L000566,Robert E. Latta,M,Republican,1956,9,OH-05,0.4740416705608368,1.6885001970883826
L000578,Doug LaMalfa,M,Republican,1960,6,CA-01,0.2661879360675812,0.9614146840616887
L000585,Darin LaHood,M,Republican,1968,5,IL-16,-0.06454966217279434,-0.19552635854258965
L000589,Debbie Lesko,F,Republican,1958,4,AZ-08,0.1853390783071518,0.6786002647505389
L000590,Susie Lee,F,Democrat,1966,3,NV-03,-0.25451356172561646,-0.8600320971556079
L000596,Anna Paulina Luna,F,Republican,1989,1,FL-13,0.16271106898784637,0.5994460566011836
L000597,Laurel Lee,F,Republican,1974,1,FL-15,0.21327370405197144,0.7763173528769489
L000598,Nick LaLota,M,Republican,1978,1,NY-01,0.14593876898288727,0.5407754900921223
L000599,Mike Lawler,M,Republican,1986,1,NY-17,0.15207825601100922,0.5622518041282679
L000600,Nick Langworthy,M,Republican,1981,1,NY-23,0.3162636160850525,1.136582580777276
L000601,Greg Landsman,M,Democrat,1976,1,OH-01,-0.30210626125335693,-1.0265143710335174
L000602,Summer Lee,F,Democrat,1987,1,PA-12,-0.5042558908462524,-1.7336465642512235
L000605,Erica Lee Carter,F,Democrat,1980,1,TX-18,-0.3623940050601959,-1.2374047129457517
M000194,Nancy Mace,F,Republican,1977,2,SC-01,0.21832363307476044,0.7939823240800623
M000312,Jim McGovern (Massachusetts),M,Democrat,1959,14,MA-02,-0.3693872392177582,-1.2618674884525922
M000317,Nicole Malliotakis,F,Republican,1980,2,NY-11,0.19389986991882324,0.7085464554026425
M000871,Tracey Mann,M,Republican,1976,2,KS-01,0.38898324966430664,1.3909604596111096
M001135,Kathy Manning,F,Democrat,1956,2,NC-06,-0.23295219242572784,-0.7846090632746545
M001136,Lisa McClain,F,Republican,1966,2,MI-09,0.16835300624370575,0.6191819100567011
M001137,Gregory Meeks,M,Democrat,1953,14,NY-05,-0.17701154947280884,-0.5889251551667345
M001143,Betty McCollum,F,Democrat,1954,12,MN-04,-0.33423635363578796,-1.1389074668825265
M001156,Patrick T. McHenry,M,Republican,1975,10,NC-10,0.17493711411952972,0.6422135359468383
M001157,Michael McCaul,M,Republican,1962,10,TX-10,0.16637185215950012,0.6122517077333633
M001159,Cathy McMorris Rodgers,F,Republican,1969,10,WA-05,0.3244258165359497,1.165134474332308
M001160,Gwen Moore,F,Democrat,1951,10,WI-04,-0.3432563841342926,-1.170460104214306
M001177,Tom McClintock,M,Republican,1956,8,CA-05,0.17093266546726227,0.6282057212216359
M001184,Thomas Massie,M,Republican,1971,7,KY-04,0.2545483112335205,0.920698540016724
M001195,Alexander Mooney,M,Republican,1971,5,WV-02,0.2712104320526123,0.9789836927631868
M001199,Brian Mast,M,Republican,1980,4,FL-21,0.16524989902973175,0.6083270447055936
M001204,Dan Meuser,M,Republican,1964,3,PA-09,0.23873186111450195,0.8653715968800788
