Bioguide_ID,Name,Gender,Party,Born,Number_of_House_Terms,District,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
B001300,Nanette Barragán,F,Democrat,1976,4,CA-44,-0.4707624018192291,-1.6164842206847796
B001301,Jack Bergman,M,Republican,1947,4,MI-01,0.1757812350988388,0.6451663245353804
B001302,Andy Biggs,M,Republican,1958,4,AZ-05,0.2272200882434845,0.8251026870903339
B001309,Tim Burchett,M,Republican,1964,3,TN-02,0.3641729950904846,1.3041726195027301
B001311,Dan Bishop,M,Republican,1964,3,NC-08,0.18098603188991547,0.6633730329896009
B001314,Aaron Bean,M,Republican,1967,1,FL-04,0.2413279116153717,0.8744527457700417
B001316,Eric Burlison,M,Republican,1976,1,MO-07,0.3566647469997406,1.277908292675504
B001317,Josh Brecheen,M,Republican,1979,1,OK-02,0.24392734467983246,0.8835457270814424
B001318,Becca Balint,F,Democrat,1968,1,VT-AL,-0.4611888527870178,-1.5829953405040031
C000059,Ken Calvert,M,Republican,1953,16,CA-41,0.07648605108261108,0.2978254889832459
C001039,Kat Cammack,F,Republican,1988,2,FL-03,0.28085047006607056,1.0127051556067594
C001051,John Carter,M,Republican,1941,11,TX-31,-0.017979122698307037,-0.032619665197437336
C001053,Tom Cole,M,Republican,1949,11,OK-04,0.10424529761075974,0.39492908951445665
C001055,Ed Case,M,Democrat,1952,5,HI-01,-0.3349541127681732,-1.141418233736306
C001059,Jim Costa,M,Democrat,1952,10,CA-21,-0.20768404006958008,-0.6962194677550104
C001063,Henry Cuellar,M,Democrat,1955,10,TX-28,-0.05040467530488968,-0.1460462996026815
C001066,Kathy Castor,F,Democrat,1966,9,FL-14,-0.45684024691581726,-1.5677836420540274
C001067,Yvette D. Clarke,F,Democrat,1964,9,NY-09,-0.37923264503479004,-1.2963073408655634
C001068,Steve Cohen,M,Democrat,1949,9,TN-09,-0.11802628636360168,-0.3825909731356486
C001069,Joe Courtney,M,Democrat,1953,9,CT-02,-0.0258028507232666,-0.05998756079323972
C001078,Gerald Connolly,M,Democrat,1950,9,VA-11,-0.04342488944530487,-0.12163056709296634
C001080,Judy Chu,F,Democrat,1953,8,CA-28,-0.44104763865470886,-1.5125400992446958
C001090,Matt Cartwright,M,Democrat,1961,6,PA-08,-0.4306817352771759,-1.4762795134360571
C001097,Tony Cardenas,M,Democrat,1963,6,CA-29,-0.3175959587097168,-1.0806983126843284
C001101,Katherine Clark,F,Democrat,1963,6,MA-05,-0.5517921447753906,-1.899931387854218
C001103,"Earl ""Buddy"" Carter",M,Republican,1957,5,GA-01,0.3592284619808197,1.2868763298715478
C001108,James Comer Jr.,M,Republican,1972,5,KY-01,0.46632838249206543,1.6615186274462588
C001110,Lou Correa,M,Democrat,1958,4,CA-46,0.13904188573360443,0.5166497561580383
C001116,Andrew Clyde,M,Republican,1963,2,GA-09,0.37396240234375,1.338416585396923
C001117,Sean Casten,M,Democrat,1971,3,IL-06,-0.09785915911197662,-0.31204508614559207
C001118,Ben Cline,M,Republican,1972,3,VA-06,0.34348493814468384,1.2318044874860734
C001125,Troy Carter,M,Democrat,1963,2,LA-02,-0.29025885462760925,-0.9850713931360138
C001127,Sheila Cherfilus-McCormick,F,Democrat,1979,2,FL-20,-0.4706744849681854,-1.6161766819778103
C001129,Mike Collins (politician),M,Republican,1967,1,GA-10,0.3315291106700897,1.1899822466001104
C001130,Jasmine Crockett,F,Democrat,1981,1,TX-30,-0.3313870131969452,-1.1289402937652644
C001132,Eli Crane,M,Republican,1980,1,AZ-02,0.3252590298652649,1.1680491072711041
C001133,Juan Ciscomani,M,Republican,1982,1,AZ-06,0.16388541460037231,0.6035539918482252
D000032,Byron Donalds,M,Republican,1978,2,FL-19,0.3665601909160614,1.3125231815254248
D000096,Danny K. Davis,M,Democrat,1941,14,IL-07,-0.2882903218269348,-0.9781853408609478
D000216,Rosa DeLauro,F,Democrat,1943,17,CT-03,-0.4005914330482483,-1.371021732590373
